symbol,value
–,0
„,1
‘,2
•,3
—,4
ˆ,5
Ÿ,6
”,7
Ž,8
š,9
‡,10
ž,11
Ž,12
Š,13
Œ,14
“,15
„,16
ˆ,17
‘,18
–,19
ˆ,20
†,21
š,22
Ž,23
›,24
”,25
”,26
‘,27
–,28
”,29
”,30
†,31
†,32
€,33
”,34
“,35
ƒ,36
Ÿ,37
“,38
œ,39
Š,40
„,41
ˆ,42
›,43
€,44
ƒ,45
ƒ,46
“,47
œ,48
Œ,49
ˆ,50
›,51
ƒ,52
€,53
Ž,54
œ,55
–,56
‹,57
–,58
˜,59
œ,60
”,61
Ž,62
–,63
“,64
ž,65
–,66
Š,67
–,68
…,69
…,70
—,71
š,72
Œ,73
…,74
‘,75
„,76
“,77
Ÿ,78
—,79
ˆ,80
„,81
„,82
–,83
™,84
•,85
Š,86
…,87
ž,88
ƒ,89
˜,90
‰,91
œ,92
’,93
Ÿ,94
‘,95
“,96
–,97
‚,98
‚,99
˜,100
„,101
œ,102
‡,103
›,104
ž,105
˜,106
’,107
ˆ,108
š,109
š,110
“,111
„,112
“,113
•,114
›,115
‰,116
Œ,117
‚,118
‰,119
€,120
…,121
ž,122
ž,123
‚,124
‹,125
˜,126
‘,127
Ÿ,128
‹,129
„,130
Š,131
ˆ,132
‹,133
˜,134
‰,135
Š,136
œ,137
‹,138
’,139
„,140
•,141
…,142
’,143
ˆ,144
„,145
œ,146
Ž,147
™,148
Ž,149
“,150
ˆ,151
•,152
†,153
’,154
—,155
‘,156
œ,157
‡,158
œ,159
€,160
‘,161
œ,162
„,163
Ž,164
•,165
’,166
š,167
œ,168
˜,169
ž,170
…,171
ž,172
›,173
–,174
˜,175
›,176
‡,177
€,178
Š,179
Ÿ,180
‡,181
Š,182
‘,183
š,184
—,185
ž,186
“,187
€,188
‘,189
ˆ,190
€,191
—,192
–,193
ƒ,194
“,195
ž,196
œ,197
€,198
›,199
„,200
•,201
Ž,202
…,203
Ÿ,204
ƒ,205
…,206
”,207
‹,208
†,209
ƒ,210
‘,211
†,212
›,213
‘,214
•,215
š,216
“,217
–,218
Ÿ,219
–,220
Ÿ,221
†,222
”,223
Ž,224
Ÿ,225
”,226
”,227
€,228
€,229
”,230
‡,231
”,232
–,233
‰,234
œ,235
Œ,236
š,237
™,238
Š,239
‰,240
€,241
˜,242
ž,243
‰,244
œ,245
‚,246
’,247
‚,248
‰,249
Ÿ,250
œ,251
Ž,252
‰,253
ƒ,254
–,255
†,256
‡,257
ˆ,258
„,259
’,260
—,261
œ,262
‚,263
ƒ,264
‚,265
‰,266
Œ,267
˜,268
ˆ,269
„,270
‰,271
‡,272
›,273
‘,274
”,275
—,276
’,277
˜,278
‡,279
ƒ,280
™,281
›,282
”,283
Ÿ,284
Œ,285
–,286
Ž,287
š,288
„,289
Ÿ,290
„,291
“,292
˜,293
Œ,294
‡,295
’,296
€,297
–,298
‚,299
ˆ,300
ž,301
ž,302
‘,303
—,304
„,305
‹,306
Œ,307
‡,308
Ž,309
ˆ,310
ž,311
Š,312
™,313
œ,314
‹,315
†,316
Š,317
„,318
…,319
”,320
—,321
Ž,322
—,323
ˆ,324
‚,325
Œ,326
Š,327
Ž,328
š,329
™,330
ˆ,331
Ÿ,332
“,333
–,334
‡,335
Ž,336
•,337
ž,338
„,339
‰,340
‘,341
–,342
ž,343
”,344
œ,345
Ÿ,346
˜,347
‡,348
›,349
•,350
ˆ,351
ž,352
ž,353
—,354
‰,355
Š,356
Œ,357
Ž,358
ƒ,359
Š,360
Œ,361
Ž,362
›,363
Ž,364
ˆ,365
ˆ,366
“,367
Ž,368
Š,369
‰,370
Š,371
˜,372
•,373
‰,374
†,375
–,376
›,377
Œ,378
”,379
›,380
–,381
•,382
Š,383
˜,384
€,385
‚,386
ž,387
Ÿ,388
“,389
’,390
ž,391
’,392
€,393
œ,394
„,395
”,396
†,397
œ,398
„,399
„,400
ƒ,401
“,402
…,403
Š,404
…,405
–,406
…,407
€,408
‡,409
˜,410
Œ,411
€,412
Œ,413
‡,414
‘,415
‰,416
‚,417
–,418
“,419
‘,420
‡,421
•,422
ƒ,423
‹,424
˜,425
‡,426
•,427
Š,428
›,429
‰,430
‚,431
ˆ,432
œ,433
ƒ,434
˜,435
—,436
›,437
…,438
–,439
‹,440
‚,441
€,442
•,443
†,444
—,445
š,446
‘,447
Š,448
“,449
”,450
‚,451
˜,452
˜,453
Ÿ,454
‹,455
ˆ,456
–,457
‹,458
–,459
†,460
ƒ,461
›,462
ƒ,463
‹,464
™,465
š,466
‡,467
Œ,468
‰,469
„,470
‚,471
…,472
Š,473
ˆ,474
Ž,475
š,476
ž,477
Ž,478
Œ,479
‹,480
š,481
‰,482
Œ,483
”,484
›,485
‘,486
’,487
‰,488
…,489
—,490
™,491
‹,492
˜,493
ˆ,494
–,495
œ,496
…,497
‚,498
‘,499
